category,query_index,query_rel,kind,seed,episode,v14_episode,mask_sha256,mask_positive_pixels,mask_area,extension_v14_mask_equal
bracket_brown,0,bracket_brown/train/good/039.png,thin_scratch,0,0,6,adffc081b70028aaf4a9310c7cd682b35b0d3bc7c4285588f66a3d82610af8ab,725,0.0006914138793945312,True
bracket_brown,0,bracket_brown/train/good/039.png,thin_scratch,1,1,7,474c6048338d357875a05cf1af2b95b002c1b411a98d90e731e66c88d44d360e,565,0.0005388259887695312,True
bracket_brown,0,bracket_brown/train/good/039.png,thin_scratch,2,2,8,0175f8495cfd93b4594e39958ee99fd965e729f1fd6e16de88ae65dabb7e3453,733,0.0006990432739257812,True
bracket_brown,0,bracket_brown/train/good/039.png,cutpaste,0,3,0,53299282a88a6b28bbf6707dea4c135b1bfcd2fe592e5857c9b21c3b914af938,8836,0.008426666259765625,True
bracket_brown,0,bracket_brown/train/good/039.png,cutpaste,1,4,1,da5ee46f0fada5ea47225592b2c48f874cf7c7d8663548a9029e9c89909fc8d0,11664,0.0111236572265625,True
bracket_brown,0,bracket_brown/train/good/039.png,cutpaste,2,5,2,7fef726ac735e1f865cfe5f5b05d0cf96aa35f9c6542deb070d94683a262793d,11881,0.011330604553222656,True
bracket_brown,1,bracket_brown/train/good/160.png,thin_scratch,0,0,6,d67b90a877436f0adf1bf0794f588f78d22c7096cdbe381ac827274aec97f27b,787,0.0007505416870117188,True
bracket_brown,1,bracket_brown/train/good/160.png,thin_scratch,1,1,7,5f1c6f3b550ea37f70908f9cf0c10c3c40ba77b338cec558e38c3fcb2a1123ec,765,0.0007295608520507812,True
bracket_brown,1,bracket_brown/train/good/160.png,thin_scratch,2,2,8,be9d80f8a4ebb1fee6247e42878a630e29642cf9f1ede292be4e721bbfba4d3b,721,0.0006875991821289062,True
bracket_brown,1,bracket_brown/train/good/160.png,cutpaste,0,3,0,6000f1e868f259e62655e7a540f9dc6761b50f98648ee0754855351a5677615f,8836,0.008426666259765625,True
bracket_brown,1,bracket_brown/train/good/160.png,cutpaste,1,4,1,80a68338e91c52bb1df76311e92f248e212163170d04c71af753cab292b74121,7396,0.007053375244140625,True
bracket_brown,1,bracket_brown/train/good/160.png,cutpaste,2,5,2,1781ad194fe139723521af76cea9d89274aa126484f8b49368851ded3986596e,11449,0.010918617248535156,True
bracket_white,0,bracket_white/train/good/023.png,thin_scratch,0,0,6,4949cfb0138dd96af6a76a69d90692641347b343d4cc4f789c7fdc2f18614304,729,0.0006952285766601562,True
bracket_white,0,bracket_white/train/good/023.png,thin_scratch,1,1,7,3edb8a153ed6a67abde92aa9c3409bf2d80cbb332e2398d08d698c09c7d95703,803,0.0007658004760742188,True
bracket_white,0,bracket_white/train/good/023.png,thin_scratch,2,2,8,879534940ff1433fc645e1037cb5ee7778e142e983ba616a1f9735311ad87163,635,0.0006055831909179688,True
bracket_white,0,bracket_white/train/good/023.png,cutpaste,0,3,0,dcf876b24452754aa886946f81e2d4fa91d06c0a0ab1af7d0f8192cbaa310632,5776,0.0055084228515625,True
bracket_white,0,bracket_white/train/good/023.png,cutpaste,1,4,1,774258d63a8c8c79798275c1d07ef6d7eb7072ca6f5cf815265efb34c024efc4,12544,0.011962890625,True
bracket_white,0,bracket_white/train/good/023.png,cutpaste,2,5,2,92bbc9e35e4b8a559c29289aee29f93f990da6975fc9298d3608c7409ee51a64,6889,0.006569862365722656,True
bracket_white,1,bracket_white/train/good/103.png,thin_scratch,0,0,6,9fa6b0ee900b049c830b6591ba895b6fd1feae0bde3be41a79e927e942ae7896,1133,0.0010805130004882812,True
bracket_white,1,bracket_white/train/good/103.png,thin_scratch,1,1,7,4798dd766d2de68490116bda17b380fc1a81102f3131243961151b0bbfbc1d30,625,0.0005960464477539062,True
bracket_white,1,bracket_white/train/good/103.png,thin_scratch,2,2,8,abe0d1c03af39bbf171c81cafa2ab68c1cad8a3000ba2747620a38710016c52f,1017,0.0009698867797851562,True
bracket_white,1,bracket_white/train/good/103.png,cutpaste,0,3,0,1de17b7bf345a2407f0fc9354f2ed13cb3fdf9c53422d28f847b6b915b9aef53,11025,0.010514259338378906,True
bracket_white,1,bracket_white/train/good/103.png,cutpaste,1,4,1,7421311c868ec0ae3aa9b5784ef71937e4dc0608d83a2f3b4dd3d198f82c3a18,7569,0.007218360900878906,True
bracket_white,1,bracket_white/train/good/103.png,cutpaste,2,5,2,21e6ef7b7c31918072cbf32e4eb0ee20ea40cf5a5b5188618a40b2021ad8a371,6561,0.006257057189941406,True
connector,0,connector/train/good/048.png,thin_scratch,0,0,6,209fb5c17ed74baa5f16262f18b39519a78e41272a22ea4375a49eae9e5afdd6,1159,0.0011053085327148438,True
connector,0,connector/train/good/048.png,thin_scratch,1,1,7,69559d0a01e82e71fc82c0e1c91af82155b78b16c314dec40563718f6a18cb65,681,0.0006494522094726562,True
connector,0,connector/train/good/048.png,thin_scratch,2,2,8,0815efe7b04dce091e19c48705c3d640d9d7eba31d1f84250aa76be2c10af2c1,985,0.0009393692016601562,True
connector,0,connector/train/good/048.png,cutpaste,0,3,0,716d1bd4c5a6388c7123ad394e411457004f8e413a663ae66b08f5972ccb2983,5929,0.005654335021972656,True
connector,0,connector/train/good/048.png,cutpaste,1,4,1,39206d8baf9ed99369dd4ab5239552ecd9b9175d561e84e9cd52919b568b7fbb,5041,0.004807472229003906,True
connector,0,connector/train/good/048.png,cutpaste,2,5,2,2f697fe7d734386207d18e64249ed4977b7f8e31af2e9e945a5e0a5254257e2d,7569,0.007218360900878906,True
connector,1,connector/train/good/043.png,thin_scratch,0,0,6,afcac072df5a9fee892ecd1caa02a145e4289df224d1f991ca44f5daf59e19dc,1707,0.0016279220581054688,True
connector,1,connector/train/good/043.png,thin_scratch,1,1,7,938f377c3c34f487da1a10ec5701a2b56bed0f6a319521e49932175191aa0d91,861,0.0008211135864257812,True
connector,1,connector/train/good/043.png,thin_scratch,2,2,8,85ff0d37dae43fda6690b3e9218dff1facf17ac63691d22fb66d5d20b6268eaf,1511,0.0014410018920898438,True
connector,1,connector/train/good/043.png,cutpaste,0,3,0,905b45af68e8ed206d8b336936c9f5e9ff1723f976da6bfb186d17f5181fba32,8836,0.008426666259765625,True
connector,1,connector/train/good/043.png,cutpaste,1,4,1,ef423063ff11e34b902c8c8bec599bac0c0dd067583790d45f8c6b442d93a2d9,10201,0.009728431701660156,True
connector,1,connector/train/good/043.png,cutpaste,2,5,2,24f01282f0fb8c81a98623082a6130a632b57bcd2e60c453d1d61201583d714d,13225,0.012612342834472656,True
tubes,0,tubes/train/good/069.png,thin_scratch,0,0,6,c4db241d1775570fe858f2b12f31f6d524fccb0af5480a322f42ce3d16be9cf6,759,0.0007238388061523438,True
tubes,0,tubes/train/good/069.png,thin_scratch,1,1,7,be7ff1d301102ef0246ce30606e9efe1c11e747cace9e6d404cf777db8fe1d9b,893,0.0008516311645507812,True
tubes,0,tubes/train/good/069.png,thin_scratch,2,2,8,a883907b8f760d16065fa70cffe7ec6f1146199fb23faee446e0f8c3cb5fa659,1001,0.0009546279907226562,True
tubes,0,tubes/train/good/069.png,cutpaste,0,3,0,2ada45ab2ca605f8e6d2d8516b572f51e264750b64b9141dd0c6eec42249d166,12544,0.011962890625,True
