category,seed,shot,sample_id,image_index,proposal_quantile,component_index,area_cells,a1_mean,a1_max,a1_p90,text_trimmed_mean,text_p90,text_consistency,shuf_text_trimmed_mean,shuf_text_p90,shuf_text_consistency,label,intersection_cells,overlap_fraction,iou
bracket_black,0,1,bracket_black/test/good/000.png,0,0.9,0,27,0.7589159607887268,0.9617648720741272,0.9206599116325379,0.24933103050874628,0.47386879324913034,0.07407407407407407,0.35668211721855664,0.5413156986236574,0.18518518518518517,0,0,0.0,0.0
bracket_black,0,1,bracket_black/test/good/000.png,0,0.9,1,28,0.807117760181427,1.0,0.9601484417915345,0.13762029275919,0.20907597839832306,0.03571428571428571,0.4510493191579978,0.7077443957328797,0.2857142857142857,0,0,0.0,0.0
bracket_black,0,1,bracket_black/test/good/000.png,0,0.9,2,44,0.8234630823135376,1.0,1.0,0.37726441563831437,0.7952353775501252,0.3409090909090909,0.3367398873799377,0.4768609493970871,0.045454545454545456,0,0,0.0,0.0
bracket_black,0,1,bracket_black/test/good/000.png,0,0.9,3,66,0.8397473692893982,1.0,1.0,0.2400505244731903,0.5973759293556213,0.21212121212121213,0.25926405691576226,0.49044613540172577,0.09090909090909091,0,0,0.0,0.0
bracket_black,0,1,bracket_black/test/good/000.png,0,0.9,4,9,0.8058706521987915,0.9788386821746826,0.9242694854736329,0.03342989718334542,0.11052488684654237,0.0,0.1098799713783794,0.1443493992090225,0.0,0,0,0.0,0.0
bracket_black,0,1,bracket_black/test/good/000.png,0,0.9,5,20,0.9001234173774719,1.0,1.0,0.2948026368394494,0.38535540699958803,0.0,0.1520196432247758,0.24798900634050372,0.0,0,0,0.0,0.0
bracket_black,0,1,bracket_black/test/good/000.png,0,0.9,6,33,0.7776820063591003,0.9652342796325684,0.9130909681320191,0.35769474782325605,0.6762535452842713,0.2727272727272727,0.7012563116020627,0.9485465049743652,0.7878787878787878,0,0,0.0,0.0
bracket_black,0,1,bracket_black/test/good/000.png,0,0.9,7,8,0.7349278926849365,0.8136052489280701,0.8003505647182465,0.06839642697013915,0.1307694777846336,0.0,0.16986170690506697,0.28457215130329133,0.0,0,0,0.0,0.0
bracket_black,0,1,bracket_black/test/good/000.png,0,0.9,8,5,0.7003660202026367,0.7555610537528992,0.7521174788475037,0.02148812860250473,0.05271616876125336,0.0,0.11674784719944001,0.1681265652179718,0.0,0,0,0.0,0.0
bracket_black,0,1,bracket_black/test/good/000.png,0,0.9,9,44,0.7710956335067749,0.9786688089370728,0.901041454076767,0.4543796372082498,0.7335872948169708,0.3409090909090909,0.5160290425022444,0.7500651061534882,0.5,0,0,0.0,0.0
