category,query_index,query_rel,kind,seed,high_episode,low_episode,mask_sha256,mask_positive_pixels,mask_area,high_low_mask_equal
bracket_black,0,bracket_black/train/good/271.png,thin_scratch,0,0,6,a3f72a6ce12fcea7026316e842177e18268663ee9a2f1db6af4ccadff5ef8636,657,0.0006265640258789062,True
bracket_black,0,bracket_black/train/good/271.png,thin_scratch,1,1,7,3a4f2acc291d32f48fd39c80a4a6d2c6c3c8601d9f36bc967f098a7e9e3cdfe8,985,0.0009393692016601562,True
bracket_black,0,bracket_black/train/good/271.png,thin_scratch,2,2,8,a4f40409205ee4a9374fb0f267916cf6ef230c165d194f6969c79527907a1701,1577,0.0015039443969726562,True
bracket_black,0,bracket_black/train/good/271.png,cutpaste,0,3,0,513b8c6dba0115654039758aa5a2d346377fdcfe85bd10b29db06fb3bba1bada,10404,0.009922027587890625,True
bracket_black,0,bracket_black/train/good/271.png,cutpaste,1,4,1,7cf6270738504a966d1f6ae7e3c8524f776db1b149e170f513a1fccecc77766e,12996,0.012393951416015625,True
bracket_black,0,bracket_black/train/good/271.png,cutpaste,2,5,2,a391ae2549519f8c79eab1add1d6c70462c1bc43c166309de7502bfdea447bb8,5929,0.005654335021972656,True
bracket_black,1,bracket_black/train/good/281.png,thin_scratch,0,0,6,cf450197962aaa4e015b313a2cd4597bf053df44c98e391b86ae3dbdb3d3b13b,791,0.0007543563842773438,True
bracket_black,1,bracket_black/train/good/281.png,thin_scratch,1,1,7,16d15f2eeabb7447868b382359d21b9a869cf03ac25d30296fd603b1b996962e,891,0.0008497238159179688,True
bracket_black,1,bracket_black/train/good/281.png,thin_scratch,2,2,8,22ead77a560df19bd5cd170bf73bde124f3fafb00c75379c3420424de5b6a6f2,833,0.0007944107055664062,True
bracket_black,1,bracket_black/train/good/281.png,cutpaste,0,3,0,523d590439b62a900c5964183c1efd7acb3f1548468d5ab37f1451589eb6628a,8100,0.007724761962890625,True
bracket_black,1,bracket_black/train/good/281.png,cutpaste,1,4,1,e51f0f28fdf3bc234c318b34a1bff070e085e096a22685c9f2ec184eb23e0dd1,6889,0.006569862365722656,True
bracket_black,1,bracket_black/train/good/281.png,cutpaste,2,5,2,7ed384adcfdd990d80807b98404eb1dea3ba2e5a83e3bd71cda045ae49f73b02,12544,0.011962890625,True
metal_plate,0,metal_plate/train/good/029.png,thin_scratch,0,0,6,9f2a5bfd3c641fa8910d00202f3f98e6de787eb5cf5552687335c4ef248fefe4,1463,0.0013952255249023438,True
metal_plate,0,metal_plate/train/good/029.png,thin_scratch,1,1,7,a888791f8d24d5acf8b8a91edce6fd6200a018789e8361cdc84e4e1fb4aad1af,813,0.0007753372192382812,True
metal_plate,0,metal_plate/train/good/029.png,thin_scratch,2,2,8,c525a96299efc6d2a620d5399694edc05eb8cb29fdbf47172d482afeccb67997,601,0.0005731582641601562,True
metal_plate,0,metal_plate/train/good/029.png,cutpaste,0,3,0,ac0b75e1fb8956ecf9816843600d86620284be2ef1ab8ef2fd34f352ce878ab1,7396,0.007053375244140625,True
metal_plate,0,metal_plate/train/good/029.png,cutpaste,1,4,1,399d1e3be88d662e89490016d2b53b98b35e511e8075e8997bdc362def6668db,4900,0.004673004150390625,True
metal_plate,0,metal_plate/train/good/029.png,cutpaste,2,5,2,6ae461b229510129fcba621167974a58604bf51ee0c23d035d0f14bd547d4a81,12769,0.012177467346191406,True
metal_plate,1,metal_plate/train/good/012.png,thin_scratch,0,0,6,23b75daabd6d19239ffa1e2b4b2de868082dd3b53c602b5da33d8c2168ad7574,945,0.0009012222290039062,True
metal_plate,1,metal_plate/train/good/012.png,thin_scratch,1,1,7,0dc86e7436f8f30c7d3a77ac86414a4440a06d9c45f451db7e84a5899cd10f20,1631,0.0015554428100585938,True
metal_plate,1,metal_plate/train/good/012.png,thin_scratch,2,2,8,645955e328cabb700169ef6fec830b9cb410eb9311aaa3eae213b4fb4ab01142,887,0.0008459091186523438,True
metal_plate,1,metal_plate/train/good/012.png,cutpaste,0,3,0,5faef645717327e99f9e20955451fafe07bca14b45c9450b5ced4e1986a299cc,7396,0.007053375244140625,True
metal_plate,1,metal_plate/train/good/012.png,cutpaste,1,4,1,c979a93f3a765bed9c01df0bb39fe23e2fa15ffcc018866b24b19ab86337e6b5,5625,0.005364418029785156,True
metal_plate,1,metal_plate/train/good/012.png,cutpaste,2,5,2,a0f7572d5133e1f19ecfe44338032848bdffa2ccdfea89e756f0c3b5024ce7fa,8649,0.008248329162597656,True
