dataset,seed,shot,category,sample_id,sample_index,original_path,visual_contrast,text_contrast,dynamic_contrast,dynamic_minus_visual_contrast,visual_image_score,text_image_score,dynamic_image_score,visual_weight
mvtec,0,4,bottle,bottle-broken_large-000,0,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\000.png,0.5979525446891785,0.6068440675735474,0.24252867698669434,-0.35542386770248413,0.35696208477020264,0.9904986023902893,0.9264829158782959,0.8756372332572937
mvtec,0,4,bottle,bottle-broken_large-001,1,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\001.png,0.577102780342102,0.628084659576416,0.2606108784675598,-0.31649190187454224,0.35908043384552,0.9843782782554626,0.6607292890548706,0.6423099040985107
mvtec,0,4,bottle,bottle-broken_large-002,2,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\002.png,0.4708513915538788,0.4120306968688965,0.27989399433135986,-0.19095739722251892,0.42093196511268616,0.9785203337669373,0.5239120125770569,0.5216495990753174
mvtec,0,4,bottle,bottle-broken_large-003,3,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\003.png,0.427619993686676,0.33769917488098145,0.4911932945251465,0.06357330083847046,0.3815734386444092,0.9701557755470276,0.501102089881897,0.501029372215271
mvtec,0,4,bottle,bottle-broken_large-004,4,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\004.png,0.6140482425689697,0.6815160512924194,0.2866441607475281,-0.32740408182144165,0.3277061879634857,0.9942231774330139,0.9596314430236816,0.8282761573791504
mvtec,0,4,bottle,bottle-broken_large-005,5,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\005.png,0.6186109781265259,0.698015570640564,0.36181938648223877,-0.2567915916442871,0.3217233717441559,0.9908202290534973,0.9322564601898193,0.8787003755569458
mvtec,0,4,bottle,bottle-broken_large-006,6,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\006.png,0.4856189489364624,0.30410873889923096,0.1853967308998108,-0.3002222180366516,0.32324841618537903,0.9883644580841064,0.8610419034957886,0.8214694261550903
mvtec,0,4,bottle,bottle-broken_large-007,7,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\007.png,0.5050873756408691,0.5898363590240479,0.25193291902542114,-0.253154456615448,0.331672728061676,0.982138991355896,0.5817900896072388,0.572841227054596
mvtec,0,4,bottle,bottle-broken_large-008,8,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\008.png,0.475830078125,0.663183331489563,0.2773207426071167,-0.1985093355178833,0.3560335636138916,0.9923288226127625,0.9495848417282104,0.8749561905860901
mvtec,0,4,bottle,bottle-broken_large-009,9,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\009.png,0.4548337161540985,0.27763399481773376,0.296852171421051,-0.15798154473304749,0.33799394965171814,0.9853293299674988,0.7062819600105286,0.6826013922691345
mvtec,0,4,bottle,bottle-broken_large-010,10,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\010.png,0.4919905364513397,0.3933219611644745,0.20281654596328735,-0.28917399048805237,0.35417526960372925,0.987542986869812,0.8229538798332214,0.7871224284172058
mvtec,0,4,bottle,bottle-broken_large-011,11,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\011.png,0.5190843343734741,0.5218622088432312,0.43554723262786865,-0.08353710174560547,0.44760653376579285,0.9751969575881958,0.5072258114814758,0.5066380500793457
mvtec,0,4,bottle,bottle-broken_large-012,12,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\012.png,0.5386657118797302,0.3195865750312805,0.32636964321136475,-0.21229606866836548,0.30825793743133545,0.9881407022476196,0.8512812852859497,0.8126915693283081
mvtec,0,4,bottle,bottle-broken_large-013,13,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\013.png,0.4594903588294983,0.5834682583808899,0.2581424117088318,-0.2013479471206665,0.3698268234729767,0.9867760539054871,0.7831481099128723,0.7512431740760803
mvtec,0,4,bottle,bottle-broken_large-014,14,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\014.png,0.5472486019134521,0.7767898440361023,0.3267788887023926,-0.22046971321105957,0.4238114058971405,0.9958266615867615,0.967195451259613,0.7592850923538208
mvtec,0,4,bottle,bottle-broken_large-015,15,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\015.png,0.5347093343734741,0.6218563914299011,0.2808239459991455,-0.2538853883743286,0.3191121220588684,0.9916526675224304,0.9434830546379089,0.8803247213363647
mvtec,0,4,bottle,bottle-broken_large-016,16,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\016.png,0.5283516645431519,0.5699329972267151,0.2636415362358093,-0.26471012830734253,0.3493061661720276,0.9884055852890015,0.8627802133560181,0.8230288028717041
mvtec,0,4,bottle,bottle-broken_large-017,17,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\017.png,0.5025802254676819,0.3786836266517639,0.241965651512146,-0.2606145739555359,0.3275890052318573,0.9883356094360352,0.8598120808601379,0.8203653693199158
mvtec,0,4,bottle,bottle-broken_large-018,18,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\018.png,0.533649206161499,0.6414870023727417,0.24595487117767334,-0.2876943349838257,0.36804068088531494,0.9935437440872192,0.9566249251365662,0.8502203226089478
mvtec,0,4,bottle,bottle-broken_large-019,19,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_large\019.png,0.48905590176582336,0.43516671657562256,0.24496722221374512,-0.24408867955207825,0.3530324101448059,0.9896032214164734,0.9051453471183777,0.8599339127540588
mvtec,0,4,bottle,bottle-broken_small-000,20,D:\STUDY\My_github\sci_project\data\mvtec\bottle\test\broken_small\000.png,0.7081441879272461,0.7517215609550476,0.5399252772331238,-0.16821891069412231,0.23338308930397034,0.9784911870956421,0.5236672163009644,0.5214309096336365
