dataset,seed,shot,visual_branch,text_branch,calibration_method,pixel_scale_fit_statistic,test_predictions_used,test_labels_used,calibration_path,calibration_sha256_embedded,visual_cache_pattern,text_cache_pattern
mvtec,0,1,anomalydino_visual,anomalyclip_text,robust_normal_reference_median_mad_sigmoid,per_view_q0.99,False,False,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\normal_reference_predictions\20260805_mvtec_s0_k1_real_reference_v1\calibration.json,7b69051df21e219125a6cc2090e544b4cc55dc75c5d66a3547a738c22e1f68f6,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_0_shot_1\predictions,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz
mvtec,0,2,anomalydino_visual,anomalyclip_text,robust_normal_reference_median_mad_sigmoid,per_view_q0.99,False,False,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\normal_reference_predictions\20260805_mvtec_s0_k2_real_reference_v1\calibration.json,0d835002e79532e2f117906c0152f2fd21d1460378f8fc107e954cec89d04f44,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_0_shot_2\predictions,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz
mvtec,0,4,anomalydino_visual,anomalyclip_text,robust_normal_reference_median_mad_sigmoid,per_view_q0.99,False,False,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\normal_reference_predictions\20260805_mvtec_s0_k4_real_reference_v1\calibration.json,6b8ad3afd5a2e18752061da2093b5dc70b711ba8b162c45b8f9a6878f2e9fbb2,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_0_shot_4\predictions,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz
mvtec,1,1,anomalydino_visual,anomalyclip_text,robust_normal_reference_median_mad_sigmoid,per_view_q0.99,False,False,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\normal_reference_predictions\20260805_mvtec_s1_k1_real_reference_v1\calibration.json,ae9c68c57999086fcf92d0fec102cae915185d8322dd4bd41e2110d6a5e59d15,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_1_shot_1\predictions,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz
mvtec,1,2,anomalydino_visual,anomalyclip_text,robust_normal_reference_median_mad_sigmoid,per_view_q0.99,False,False,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\normal_reference_predictions\20260805_mvtec_s1_k2_real_reference_v1\calibration.json,0cf1535cbe0f5f1fe27711964d4d06d0d8325cfe25a2147af155053210a495b4,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_1_shot_2\predictions,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz
mvtec,1,4,anomalydino_visual,anomalyclip_text,robust_normal_reference_median_mad_sigmoid,per_view_q0.99,False,False,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\normal_reference_predictions\20260805_mvtec_s1_k4_real_reference_v1\calibration.json,d404ee0c40fc9bc226c11b5393717fbc9a0b54ff6e7694b003b5cd4a8b060c5d,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_1_shot_4\predictions,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz
mvtec,2,1,anomalydino_visual,anomalyclip_text,robust_normal_reference_median_mad_sigmoid,per_view_q0.99,False,False,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\normal_reference_predictions\20260805_mvtec_s2_k1_real_reference_v1\calibration.json,159bbc7e30e28895ae8fbc0caac310a0d09ebbdab5a02d42f0e20ebf2e6b62e2,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_2_shot_1\predictions,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz
mvtec,2,2,anomalydino_visual,anomalyclip_text,robust_normal_reference_median_mad_sigmoid,per_view_q0.99,False,False,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\normal_reference_predictions\20260805_mvtec_s2_k2_real_reference_v1\calibration.json,bb5ad3141310294e6d48bf078eabcad76695f23c9990ba7269b37992c44c1fbe,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_2_shot_2\predictions,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz
mvtec,2,4,anomalydino_visual,anomalyclip_text,robust_normal_reference_median_mad_sigmoid,per_view_q0.99,False,False,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\normal_reference_predictions\20260805_mvtec_s2_k4_real_reference_v1\calibration.json,a3fccd27d2896db7fecc628036ba083fcc260fb88c746a8ec1b62246dc71fb52,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_2_shot_4\predictions,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz
visa,1,1,anomalydino_visual,anomalyclip_text,robust_normal_reference_median_mad_sigmoid,per_view_q0.99,False,False,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\normal_reference_predictions\20260805_visa_s1_k1_real_reference_v1\calibration.json,d19a8c223515f17a5380240f6a155edeedb718537077a97fc5ae6e2723f3086e,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_1_shot_1\predictions,D:\STUDY\My_github\sci_project\outputs\anomalyclip\visa_all_518_cached
