run_id,dataset,seed,shot,category,role,path,size_bytes,mtime_ns,sha256
20260805_mvtec_final_validation_s0_k1,mvtec,0,1,bottle,visual_prediction,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_0_shot_1\predictions\bottle.npz,58785951,1785979519697322600,bcf3a09f8b06b577379df5a6498055f6d2d07ccb7bdbc0d947a24ca3b60ee696
20260805_mvtec_final_validation_s0_k1,mvtec,0,1,bottle,text_prediction,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz\bottle.npz,80395581,1785299438080874700,533e243439559494e3c8ef719fd3e9026e2d812857c25ce729b20881335f2007
20260805_mvtec_final_validation_s0_k1,mvtec,0,1,bottle,text_sample_id_sidecar,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\sidecars\anomalyclip_mvtec_518\bottle.sample_ids.npz,594,1785946548976158400,74c7ce702c2cbafa781012d3010e47515da68d2a1e362cfcbbfa939e5eccf203
20260805_mvtec_final_validation_s0_k1,mvtec,0,1,cable,visual_prediction,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_0_shot_1\predictions\cable.npz,104625432,1785979527079764200,27cf915f583ef1833432f1fc8b975973887d73b7a127fa97ba6664dc24f9a824
20260805_mvtec_final_validation_s0_k1,mvtec,0,1,cable,text_prediction,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz\cable.npz,144631682,1785299454113058000,97cdea7b527b798e5b32c042e6574a11422f52944f68024a82ef17ed3447ccde
20260805_mvtec_final_validation_s0_k1,mvtec,0,1,cable,text_sample_id_sidecar,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\sidecars\anomalyclip_mvtec_518\cable.sample_ids.npz,948,1785946549359201900,4b95eaba47d460b29268c6b1e30d27c06c965b59e0c4ef8863ec5b187d101283
20260805_mvtec_final_validation_s0_k1,mvtec,0,1,capsule,visual_prediction,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_0_shot_1\predictions\capsule.npz,42881231,1785979531373407600,6684343a45ef8d3484d1e9903e1bbf3665f54bd4f160c49ad1d5298325d03fc6
20260805_mvtec_final_validation_s0_k1,mvtec,0,1,capsule,text_prediction,D:\STUDY\My_github\sci_project\outputs\anomalyclip\mvtec_npz\capsule.npz,122777856,1785299459959907600,c83fbed39c6bcea91182f3ee08d605098581d089b2743d557b13e8c02478c8a2
20260805_mvtec_final_validation_s0_k1,mvtec,0,1,capsule,text_sample_id_sidecar,D:\STUDY\My_github\sci_project\outputs\dynamic_fusion\sidecars\anomalyclip_mvtec_518\capsule.sample_ids.npz,804,1785946549858651000,8c1a7361ca51812ecf2b8f6a962030a81a68bddfa78d52a4e41c052db361f724
20260805_mvtec_final_validation_s0_k1,mvtec,0,1,carpet,visual_prediction,D:\STUDY\My_github\sci_project\outputs\anomalydino\unified_matrix\seed_0_shot_1\predictions\carpet.npz,81525782,1785979537445711600,13941f99cd35f031e95c134d6e3a929b7a0a7ccf13e0797f5e849bdb5dc29f3f
